id_nspn,date_homework,event,ppq_01_quality_time,ppq_02_attend_school,ppq_03_affection,ppq_04_get_me,ppq_05_comforted,ppq_06_angry_listen,ppq_07_praised,ppq_08_ideas_encouraged,ppq_09_priority,ppq_10_loved,ppq_11_listened_to,ppq_12_contact,ppq_13_home_safe,ppq_14_opinions_valued,ppq_15_talked_important,ppq_16_privacy_respected,ppq_17_friends_welcomed,ppq_18_clothes,ppq_19_pocket_money,ppq_20_ask,ppq_21_achieve,ppq_22_cared_unwell,ppq_23_skills,ppq_24_advice,ppq_25_learn_school,ppq_26_progress,ppq_positive_parenti_v_16
10455,10/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10471,11/02/2013,Home Questionnaire Pack 1,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Sometimes,Always,Rarely,Rarely,Always,Always,Rarely,Sometimes,Rarely,Sometimes,Mostly,Mostly,Sometimes,Always,Mostly,Sometimes,Sometimes,Always,Sometimes,Complete
10489,09/02/2013,Home Questionnaire Pack 1,Mostly,Always,Sometimes,Always,Rarely,Rarely,Sometimes,Sometimes,Mostly,Mostly,Rarely,Sometimes,Always,Sometimes,Rarely,Sometimes,Always,Always,Rarely,Rarely,Always,Always,Sometimes,Rarely,Always,Always,Complete
10489,15/01/2014,Home Questionnaire Pack 2,Sometimes,Always,Rarely,Always,Rarely,Rarely,Rarely,Rarely,Mostly,Sometimes,Rarely,Mostly,Always,Rarely,Rarely,Mostly,Always,Always,Rarely,Rarely,Rarely,Always,Rarely,Rarely,Always,Always,Complete
10489,31/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10520,15/12/2012,Home Questionnaire Pack 1,Always,Always,Mostly,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10520,22/06/2015,Home Questionnaire Pack 2,Always,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Always,Mostly,Always,Mostly,Mostly,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Complete
10520,24/05/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10570,18/12/2012,Home Questionnaire Pack 1,Mostly,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Complete
10570,18/01/2014,Home Questionnaire Pack 2,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,Always,Mostly,Sometimes,Mostly,Sometimes,Always,Mostly,Mostly,Always,Mostly,Mostly,Sometimes,Always,Mostly,Complete
10629,04/01/2013,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10629,14/12/2013,Home Questionnaire Pack 2,Always,Always,Sometimes,Always,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10629,08/07/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10637,27/12/2012,Home Questionnaire Pack 1,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Mostly,Rarely,Sometimes,Rarely,Sometimes,Always,Always,Mostly,Mostly,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Complete
10645,13/01/2013,Home Questionnaire Pack 1,Mostly,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Mostly,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,Sometimes,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Mostly,Complete
10645,01/08/2014,Home Questionnaire Pack 2,Mostly,Mostly,Sometimes,Always,Rarely,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Always,Mostly,Always,Mostly,Always,Always,Sometimes,Always,Always,Mostly,Sometimes,Mostly,Mostly,Mostly,Complete
10679,18/12/2012,Home Questionnaire Pack 1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10679,14/01/2014,Home Questionnaire Pack 2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Complete
10679,27/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10695,22/12/2012,Home Questionnaire Pack 1,Mostly,Mostly,Always,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Mostly,Always,Always,Mostly,Mostly,Mostly,Mostly,Always,Complete
10695,23/12/2014,Home Questionnaire Pack 2,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Always,Always,Always,Always,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Always,Mostly,Mostly,Always,Always,Complete
10695,11/06/2015,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,15/01/2013,Home Questionnaire Pack 1,Mostly,Sometimes,Mostly,Always,Always,Mostly,Mostly,Always,Always,Always,Always,Mostly,Always,Always,Mostly,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Always,Always,Mostly,Complete
10702,28/01/2014,Home Questionnaire Pack 2,Sometimes,Sometimes,Mostly,Always,Always,Mostly,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Mostly,Always,Mostly,Always,Always,Always,Complete
10702,20/06/2016,Home Questionnaire Pack 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10710,10/01/2013,Home Questionnaire Pack 1,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Always,Always,Always,Mostly,Always,Always,Mostly,Mostly,Mostly,Always,Always,Always,Sometimes,Always,Always,Mostly,Mostly,Always,Always,Complete
